Date,Open,High,Low,Close,Adj Close,Volume
6/5/2017,114.144127,115.03405,112.457962,113.066856,113.066856,226680
6/6/2017,113.582077,114.003616,111.521202,112.176933,112.176933,200057
6/7/2017,112.130096,113.16053,109.647682,110.631279,110.631279,213012
6/8/2017,110.818634,112.504799,110.537605,110.959145,110.959145,137159
6/9/2017,111.333855,114.144127,109.975548,111.942741,111.942741,362664
6/12/2017,110.397095,111.942741,108.476738,110.771797,110.771797,280818
6/13/2017,111.380692,113.722588,110.116066,112.598473,112.598473,362486
6/14/2017,112.130096,113.722588,110.35025,113.113693,113.113693,223316
6/15/2017,111.802231,113.582077,111.521202,112.176933,112.176933,177562
6/16/2017,111.989586,113.02002,110.631279,111.380692,111.380692,174174
6/19/2017,111.474365,112.364288,110.443932,111.474365,111.474365,230647
6/20/2017,111.099663,114.144127,111.099663,113.254211,113.254211,267308
6/21/2017,113.347885,116.439194,112.785828,115.455589,115.455589,407057
6/22/2017,116.532867,116.813896,113.863098,114.893539,114.893539,219290
6/23/2017,115.455589,119.436821,111.802231,114.144127,114.144127,682244
6/27/2017,113.441559,115.221405,112.036423,113.16053,113.16053,270208
6/28/2017,112.504799,114.659348,112.130096,112.738991,112.738991,180518
6/29/2017,112.738991,115.596107,112.738991,114.331482,114.331482,228367
6/30/2017,115.221405,117.001244,111.614876,115.455589,115.455589,263376
7/3/2017,114.753021,119.249466,113.628914,118.265869,118.265869,416048
7/4/2017,119.389984,125.713104,118.031677,122.949669,122.949669,1071011
7/5/2017,124.026939,124.54216,119.998878,120.420418,120.420418,388048
7/6/2017,121.076149,122.434448,119.483658,120.186226,120.186226,176610
7/7/2017,119.062119,120.65461,113.347885,114.846703,114.846703,711729
7/10/2017,114.565674,117.04808,114.284645,116.345512,116.345512,63428
7/11/2017,115.455589,117.04808,114.284645,115.830299,115.830299,236820
7/12/2017,116.205002,122.715477,115.455589,121.029312,121.029312,873861
7/13/2017,122.715477,126.462517,121.919235,123.745911,123.745911,929399
7/14/2017,124.448479,125.244728,118.500061,122.340775,122.340775,712563
7/17/2017,118.900002,121.349998,117.599998,118.199997,118.199997,731810
7/18/2017,118,118,116,116.199997,116.199997,245280
7/19/2017,116.650002,119,116.199997,117.550003,117.550003,376894
7/20/2017,118.199997,118.199997,116,116.400002,116.400002,172004
7/21/2017,115.699997,117.900002,114.599998,115.150002,115.150002,218823
7/24/2017,116,116.699997,113.050003,113.449997,113.449997,324167
7/25/2017,115.099998,119.400002,114.949997,117.349998,117.349998,562148
7/26/2017,118,118.25,113.300003,114,114,629708
7/27/2017,114.800003,115.75,112.300003,112.75,112.75,341966
7/28/2017,112,112.150002,110.650002,111,111,237513
7/31/2017,112.050003,113.550003,108.699997,110.150002,110.150002,324826
8/1/2017,110.199997,112.900002,109.050003,111.099998,111.099998,265680
8/2/2017,110.550003,113.949997,110.199997,112.800003,112.800003,850056
8/3/2017,113,113,109.699997,110.550003,110.550003,182992
8/4/2017,111,111,107.150002,107.599998,107.599998,279175
8/7/2017,108.300003,108.449997,103.800003,105.050003,105.050003,260664
8/8/2017,106,108.400002,104.5,105.599998,105.599998,326051
8/9/2017,105.699997,107.400002,104,105,105,470107
8/10/2017,105,106.199997,99.199997,100.900002,100.900002,303006
8/11/2017,100,101.900002,96.5,99.550003,99.550003,359144
8/14/2017,100,103.300003,100,102.550003,102.550003,170923
8/16/2017,102.25,104.550003,101.400002,103.75,103.75,231949
8/17/2017,105.5,114.400002,103.599998,112.400002,112.400002,981577
8/18/2017,111,113,107.150002,111.849998,111.849998,321736
8/21/2017,110.900002,111.050003,107.949997,108.5,108.5,297424
8/22/2017,108.699997,110.800003,107.449997,108.449997,108.449997,228108
8/23/2017,109.300003,114,107.5,110.75,110.75,382321
8/24/2017,111,111,108.050003,108.900002,108.900002,179264
8/28/2017,108,109.5,105.699997,106.75,106.75,237892
8/29/2017,106,106.75,104,104.949997,104.949997,216137
8/30/2017,105.849998,107.050003,105.199997,105.75,105.75,153179
8/31/2017,105.75,109.400002,105.300003,107.400002,107.400002,329415
9/1/2017,106.5,115.900002,106.5,113.5,113.5,1004437
9/4/2017,113,113.449997,108.400002,109.849998,109.849998,327943
9/5/2017,110.75,113.699997,108.349998,110.25,110.25,303627
9/6/2017,109.449997,111.849998,108.800003,109.5,109.5,293977
9/7/2017,110.199997,114.400002,108.150002,109.949997,109.949997,901934
9/8/2017,110.949997,113.599998,110.150002,112,112,359884
9/11/2017,112.099998,113.349998,111.199997,112.400002,112.400002,281767
9/12/2017,113,119.449997,112.849998,117.550003,117.550003,1261404
9/13/2017,117.900002,126.400002,116.800003,121.650002,121.650002,1814627
9/14/2017,121.449997,123.550003,118.25,119.75,119.75,447045
9/15/2017,119.599998,119.599998,116.199997,117,117,297145
9/18/2017,118.050003,123.550003,118.050003,121.699997,121.699997,659885
9/19/2017,122.449997,126.900002,120.5,123.25,123.25,634290
9/20/2017,123.5,133,122.650002,128.649994,128.649994,2063013
9/21/2017,130,133.800003,126.599998,130.699997,130.699997,1148902
9/22/2017,130.649994,130.649994,119.099998,121.949997,121.949997,718305
9/25/2017,121.550003,123,114.099998,117.699997,117.699997,628136
9/26/2017,117.599998,121.349998,117.050003,118.800003,118.800003,343411
9/27/2017,119.800003,122,113.550003,114.599998,114.599998,450692
9/28/2017,115.400002,118,115,116.150002,116.150002,327726
9/29/2017,116.400002,120.849998,116.400002,119.150002,119.150002,390428
10/3/2017,120.25,121.550003,118.349998,119.199997,119.199997,150693
10/4/2017,118.849998,121.800003,117.349998,120.199997,120.199997,330327
10/5/2017,119.75,132.899994,119.550003,127.099998,127.099998,1599900
10/6/2017,128.100006,132.899994,125.150002,130.649994,130.649994,1301112
10/9/2017,129.350006,134.899994,129.350006,131.75,131.75,822202
10/10/2017,132.449997,134.800003,129.300003,131.649994,131.649994,596055
10/11/2017,131.600006,134,126.550003,127.650002,127.650002,835043
10/12/2017,131,137.399994,130.100006,134.800003,134.800003,1785259
10/13/2017,135.800003,138.449997,132.100006,132.850006,132.850006,838551
